year,state,state_SVI
2018,VA,6.39961700297631
2018,VT,5.5022121436468865
2018,WA,6.975766127074487
2018,WI,6.041602595600092
2018,WV,7.502865072162987
2018,WY,6.020170538089771
2020,AK,8.47314648054926
2020,AL,8.939372027856697
2020,AR,9.127609075681477
2020,AZ,9.943820183566803
2020,CA,9.457029555386068
2020,CO,7.40747673237963
2020,CT,8.15492017658909
2020,DC,8.9361
2020,DE,8.378277754916661
2020,FL,9.442002598458664
2020,GA,8.994250083368366
2020,HI,8.23262612293444
2020,IA,6.715304075192119
2020,ID,7.388591769966033
2020,IL,8.339263311459337
2020,IN,7.834146615691784
2020,KS,7.52059092610465
2020,KY,8.141329756012615
2020,LA,9.724149288794619
2020,MA,7.782896219629177
2020,MD,7.912063748289062
2020,ME,6.804180407510302
